"","Name","Total"
"1","Emma",39829
"2","Olivia",38884
"3","Sophia",33451
"4","Ava",32577
"5","Isabella",30296
"6","Mia",29237
"7","Charlotte",24411
"8","Abigail",24070
"9","Emily",22692
"10","Harper",21016
"11","Amelia",20540
"12","Noah",19725
"13","Emma",19424
"14","Evelyn",19412
"15","Olivia",19254
"16","Elizabeth",19196
"17","Madison",19054
"18","Sofia",18815
"19","Liam",18349
"20","Avery",18063
"21","Mason",16678
"22","Ava",16256
"23","Sophia",16084
"24","Jacob",15928
"25","William",15882
"26","Ella",15748
"27","Chloe",15317
"28","Grace",15161
"29","Ethan",15063
"30","Victoria",14867
"31","James",14838
"32","Scarlett",14801
"33","Isabella",14743
"34","Alexander",14525
"35","Michael",14430
"36","Mia",14383
"37","Aubrey",13883
"38","Logan",13749
"39","Benjamin",13682
"40","Elijah",13620
"41","Daniel",13486
"42","Aiden",13471
"43","Zoey",13341
"44","Aria",13296
"45","Lily",13202
"46","Charlotte",13040
"47","Addison",13001
"48","Lillian",12930
"49","Riley",12830
"50","Matthew",12729
"51","Natalie",12646
"52","Layla",12548
"53","Hannah",12374
"54","Penelope",12303
"55","Lucas",12293
"56","Jackson",12267
"57","Brooklyn",12213
"58","Jayden",11907
"59","David",11780
"60","Zoe",11738
"61","Abigail",11709
"62","Oliver",11653
"63","Carter",11460
"64","Joseph",11453
"65","Camila",11307
"66","Dylan",11104
"67","Harper",11074
"68","Leah",10986
"69","Emily",10943
"70","Avery",10941
"71","Audrey",10930
"72","Gabriel",10888
"73","Nora",10875
"74","Samuel",10847
"75","Alexa",10809
"76","Savannah",10773
"77","Anthony",10607
"78","John",10372
"79","Skylar",10370
"80","Luke",10266
"81","Samantha",10255
"82","Henry",10169
"83","Allison",10104
"84","Andrew",10095
"85","Evelyn",10077
"86","Claire",10013
"87","Isaac",9946
"88","Paisley",9908
"89","Ellie",9900
"90","Anna",9868
"91","Christopher",9801
"92","Joshua",9785
"93","Wyatt",9713
"94","Stella",9698
"95","Violet",9642
"96","Sebastian",9616
"97","Owen",9609
"98","Mila",9526
"99","Eleanor",9524
"100","Ariana",9521
"101","Elizabeth",9498
"102","Aaliyah",9461
"103","Riley",9191
"104","Ryan",9191
"105","Sofia",9143
"106","Lucy",9106
"107","Madison",9055
"108","Sadie",9005
"109","Hazel",8922
"110","Sarah",8885
"111","Kennedy",8825
"112","Gabriella",8821
"113","Caleb",8783
"114","Caroline",8732
"115","Madelyn",8686
"116","Hunter",8651
"117","Nathan",8571
"118","Jack",8499
"119","Genesis",8482
"120","Arianna",8388
"121","Levi",8343
"122","Christian",8269
"123","Kaylee",8176
"124","Maya",8170
"125","Hailey",8154
"126","Autumn",8098
"127","Julian",8074
"128","Jaxon",8065
"129","Piper",8048
"130","Grayson",8044
"131","Landon",7971
"132","Serenity",7755
"133","Nevaeh",7735
"134","Jonathan",7626
"135","Isaiah",7600
"136","Aurora",7595
"137","Kylie",7545
"138","Grace",7541
"139","Eva",7533
"140","Naomi",7522
"141","Chloe",7420
"142","Bella",7419
"143","Jordan",7385
"144","Peyton",7377
"145","Cameron",7314
"146","Victoria",7273
"147","Ruby",7250
"148","Mackenzie",7240
"149","Charles",7181
"150","Thomas",7169
"151","Aaron",7166
"152","Eli",7155
"153","Angel",7086
"154","Alice",7081
"155","Lydia",7081
"156","Aubree",7012
"157","Taylor",7002
"158","Melanie",6963
"159","Aria",6925
"160","Parker",6870
"161","Connor",6771
"162","Jeremiah",6765
"163","Cora",6747
"164","Quinn",6725
"165","Katherine",6701
"166","Julia",6679
"167","Aubrey",6654
"168","Josiah",6650
"169","Adrian",6620
"170","Madeline",6584
"171","Lily",6565
"172","Brianna",6540
"173","Adeline",6506
"174","Addison",6448
"175","Ashley",6443
"176","Luna",6441
"177","Zoey",6428
"178","Gianna",6379
"179","Penelope",6372
"180","Faith",6340
"181","Vivian",6321
"182","Colton",6298
"183","Brayden",6261
"184","Layla",6241
"185","Annabelle",6236
"186","Isabelle",6221
"187","Natalie",6164
"188","Hudson",6160
"189","Eliana",6158
"190","Lincoln",6145
"191","Reagan",6128
"192","Kinsley",6124
"193","Clara",6113
"194","Alexis",6068
"195","Elena",6054
"196","Brooklyn",5988
"197","Hannah",5985
"198","Evan",5982
"199","Austin",5907
"200","Alyssa",5904
"201","Willow",5879
"202","Dominic",5848
"203","Hadley",5841
"204","Alexandra",5829
"205","Sophie",5782
"206","Gavin",5773
"207","Nolan",5754
"208","Zoe",5721
"209","Valentina",5653
"210","Rylee",5625
"211","Maria",5607
"212","Sawyer",5533
"213","Bailey",5522
